iteration;stat;count
0;conflicting_iso_vertices;209
0;conflicting_triangles;219
0;extended_conflicting_triangles;219
0;vertices_to_smooth;295
0;updated_vertices;122
0;conflicting_sharp_vertices;0
0;conflicting_spur_vertices;89
0;conflicting_gully_vertices;120
0;conflicting_sharp_triangles;0
0;conflicting_spur_triangles;108
0;conflicting_gully_triangles;149
1;conflicting_iso_vertices;144
1;conflicting_triangles;166
1;extended_conflicting_triangles;166
1;vertices_to_smooth;228
1;updated_vertices;78
1;conflicting_sharp_vertices;0
1;conflicting_spur_vertices;62
1;conflicting_gully_vertices;82
1;conflicting_sharp_triangles;0
1;conflicting_spur_triangles;79
1;conflicting_gully_triangles;104
2;conflicting_iso_vertices;129
2;conflicting_triangles;150
2;extended_conflicting_triangles;150
2;vertices_to_smooth;207
2;updated_vertices;63
2;conflicting_sharp_vertices;0
2;conflicting_spur_vertices;57
2;conflicting_gully_vertices;72
2;conflicting_sharp_triangles;0
2;conflicting_spur_triangles;70
2;conflicting_gully_triangles;92
3;conflicting_iso_vertices;105
3;conflicting_triangles;128
3;extended_conflicting_triangles;128
3;vertices_to_smooth;181
3;updated_vertices;37
3;conflicting_sharp_vertices;0
3;conflicting_spur_vertices;45
3;conflicting_gully_vertices;60
3;conflicting_sharp_triangles;0
3;conflicting_spur_triangles;57
3;conflicting_gully_triangles;77
4;conflicting_iso_vertices;110
4;conflicting_triangles;129
4;extended_conflicting_triangles;129
4;vertices_to_smooth;182
4;updated_vertices;31
4;conflicting_sharp_vertices;0
4;conflicting_spur_vertices;45
4;conflicting_gully_vertices;65
4;conflicting_sharp_triangles;0
4;conflicting_spur_triangles;57
4;conflicting_gully_triangles;84
5;conflicting_iso_vertices;113
5;conflicting_triangles;131
5;extended_conflicting_triangles;131
5;vertices_to_smooth;184
5;updated_vertices;23
5;conflicting_sharp_vertices;0
5;conflicting_spur_vertices;49
5;conflicting_gully_vertices;64
5;conflicting_sharp_triangles;0
5;conflicting_spur_triangles;62
5;conflicting_gully_triangles;82
6;conflicting_iso_vertices;108
6;conflicting_triangles;129
6;extended_conflicting_triangles;129
6;vertices_to_smooth;182
6;updated_vertices;22
6;conflicting_sharp_vertices;0
6;conflicting_spur_vertices;44
6;conflicting_gully_vertices;64
6;conflicting_sharp_triangles;0
6;conflicting_spur_triangles;56
6;conflicting_gully_triangles;83
7;conflicting_iso_vertices;105
7;conflicting_triangles;129
7;extended_conflicting_triangles;129
7;vertices_to_smooth;182
7;updated_vertices;22
7;conflicting_sharp_vertices;0
7;conflicting_spur_vertices;41
7;conflicting_gully_vertices;64
7;conflicting_sharp_triangles;0
7;conflicting_spur_triangles;52
7;conflicting_gully_triangles;83
8;conflicting_iso_vertices;103
8;conflicting_triangles;123
8;extended_conflicting_triangles;123
8;vertices_to_smooth;174
8;updated_vertices;9
8;conflicting_sharp_vertices;0
8;conflicting_spur_vertices;41
8;conflicting_gully_vertices;62
8;conflicting_sharp_triangles;0
8;conflicting_spur_triangles;52
8;conflicting_gully_triangles;80
9;conflicting_iso_vertices;103
9;conflicting_triangles;123
9;extended_conflicting_triangles;123
9;vertices_to_smooth;174
9;updated_vertices;10
9;conflicting_sharp_vertices;0
9;conflicting_spur_vertices;41
9;conflicting_gully_vertices;62
9;conflicting_sharp_triangles;0
9;conflicting_spur_triangles;52
9;conflicting_gully_triangles;80
10;conflicting_iso_vertices;101
10;conflicting_triangles;123
10;extended_conflicting_triangles;123
10;vertices_to_smooth;174
10;updated_vertices;11
10;conflicting_sharp_vertices;0
10;conflicting_spur_vertices;38
10;conflicting_gully_vertices;63
10;conflicting_sharp_triangles;0
10;conflicting_spur_triangles;48
10;conflicting_gully_triangles;81
11;conflicting_iso_vertices;101
11;conflicting_triangles;123
11;extended_conflicting_triangles;123
11;vertices_to_smooth;174
11;updated_vertices;9
11;conflicting_sharp_vertices;0
11;conflicting_spur_vertices;41
11;conflicting_gully_vertices;60
11;conflicting_sharp_triangles;0
11;conflicting_spur_triangles;52
11;conflicting_gully_triangles;77
12;conflicting_iso_vertices;101
12;conflicting_triangles;123
12;extended_conflicting_triangles;123
12;vertices_to_smooth;174
12;updated_vertices;10
12;conflicting_sharp_vertices;0
12;conflicting_spur_vertices;41
12;conflicting_gully_vertices;60
12;conflicting_sharp_triangles;0
12;conflicting_spur_triangles;52
12;conflicting_gully_triangles;77
13;conflicting_iso_vertices;101
13;conflicting_triangles;123
13;extended_conflicting_triangles;123
13;vertices_to_smooth;174
13;updated_vertices;8
13;conflicting_sharp_vertices;0
13;conflicting_spur_vertices;41
13;conflicting_gully_vertices;60
13;conflicting_sharp_triangles;0
13;conflicting_spur_triangles;52
13;conflicting_gully_triangles;77
14;conflicting_iso_vertices;101
14;conflicting_triangles;123
14;extended_conflicting_triangles;123
14;vertices_to_smooth;174
14;updated_vertices;8
14;conflicting_sharp_vertices;0
14;conflicting_spur_vertices;41
14;conflicting_gully_vertices;60
14;conflicting_sharp_triangles;0
14;conflicting_spur_triangles;52
14;conflicting_gully_triangles;77
15;conflicting_iso_vertices;101
15;conflicting_triangles;123
15;extended_conflicting_triangles;123
15;vertices_to_smooth;174
15;updated_vertices;5
15;conflicting_sharp_vertices;0
15;conflicting_spur_vertices;41
15;conflicting_gully_vertices;60
15;conflicting_sharp_triangles;0
15;conflicting_spur_triangles;52
15;conflicting_gully_triangles;77
16;conflicting_iso_vertices;101
16;conflicting_triangles;123
16;extended_conflicting_triangles;123
16;vertices_to_smooth;174
16;updated_vertices;5
16;conflicting_sharp_vertices;0
16;conflicting_spur_vertices;41
16;conflicting_gully_vertices;60
16;conflicting_sharp_triangles;0
16;conflicting_spur_triangles;52
16;conflicting_gully_triangles;77
17;conflicting_iso_vertices;101
17;conflicting_triangles;123
17;extended_conflicting_triangles;123
17;vertices_to_smooth;174
17;updated_vertices;3
17;conflicting_sharp_vertices;0
17;conflicting_spur_vertices;41
17;conflicting_gully_vertices;60
17;conflicting_sharp_triangles;0
17;conflicting_spur_triangles;52
17;conflicting_gully_triangles;77
18;conflicting_iso_vertices;101
18;conflicting_triangles;123
18;extended_conflicting_triangles;123
18;vertices_to_smooth;174
18;updated_vertices;2
18;conflicting_sharp_vertices;0
18;conflicting_spur_vertices;41
18;conflicting_gully_vertices;60
